MARCA,MODELO,CODIGO_INFORME_TECNICO,FECHA_HOML,FOOT_PRINT_MT2,AÑO,TIPO_LDV,CATEGORIA_PROPULSION,RUT,IMP_COD,EMIS_NORMA,CATEGORIA_VH,PESO_BRUTO_VH_KG,TRANSMISION,EMIS_CO2_EQUIV,REND_EQUIV_KML,N2O_EMISION_EPA,MP_EMISION_EPA_MASA_PARTICULAS_GKM,HCHO_EMISION_EPA_MGKM,HC_EMISION_EPA_GKM,HCNM_EMISION_EPA_GKM,NMOG_NOX_EMISION_EPA,NOX_EMISION_EPA_GKM,NMOG_EMISION_EPA_GKM,CO_EMISION_EPA_GKM,HCHO_EMISION_EU_MGKM,EMISION_NPS_KM_EU_KM,HC_NOX_EMISION_EU_GKM,EMISION_NPS_KM_EU_KM,NMOG_EMISION_EU_GKM,HCNM_EMISION_EU_GKM,CO_EMISION_EU_GKM,MP_EMISION_MASA_PARTICULAS_EU_GKM,NOX_EMISION_EU_GKM,HC_EMISION_EU_GKM
brilliance,"euphoria (h530) 1,6 lts. dohc sedan 4p. t/m motor otto",BR4957E41212S,2013-01-08,4.8303,2013,liviano,ice,79.649.140-K,GILD79649140K,euro 4,lpo,1630.0,M,172.0,13.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.3628,-,0.0212,0.0433
brilliance,"euphoria (h530) 1,6 lts. dohc hatchback 5p. t/m motor otto",BR4957E41212S,2013-01-08,4.8303,2013,liviano,ice,79.649.140-K,GILD79649140K,euro 4,lpo,1630.0,M,172.0,13.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.3628,-,0.0212,0.0433
dodge,"dart sxt 2,0 lts. i4 dohc sedan 4p. t/a motor otto",DD4921T241112S00-9,2013-01-16,4.943787,2013,liviano,ice,,,tier 2 b4,lpo,1944.0,A,217.0,11.0,-,-,0,-,-,-,0.007,0.002,0.81,-,-,-,-,-,-,-,-,-,-
dodge,"dart limited 2,0 lts. i4 dohc sedan 4p. t/a motor otto",DD4921T241112S01-3,2013-01-16,4.943787,2013,liviano,ice,,,tier 2 b4,lpo,1944.0,A,217.0,11.0,-,-,0,-,-,-,0.007,0.002,0.81,-,-,-,-,-,-,-,-,-,-
dodge,"dart se 2,0 lts. i4 dohc sedan 4p. t/a motor otto",DD4921T241112S02-8,2013-01-16,4.943787,2013,liviano,ice,,,tier 2 b4,lpo,1944.0,A,217.0,11.0,-,-,0,-,-,-,0.007,0.002,0.81,-,-,-,-,-,-,-,-,-,-
fiat,"fiorino cargo city 1,2 lts. dohc furgon 5p. t/m motor diesel",FT4966E51112S00-3,2013-01-08,4.312308,2013,liviano,ice,,,euro 5,cc1d,1700.0,M,144.0,16.01,-,-,-,-,-,-,-,-,-,-,-,0.1993,-,-,-,0.3179,0.0032,0.1582,-
ram,"ram van 700 city 1,2 lts. furgon 5p. t/m diesel",RM4966E51117S00-7,2017-11-22,4.312308,2017,liviano,ice,96.861.240-9,ASTA968612409,euro 5,cc1d,1700.0,M,144.0,16.01,-,-,-,-,-,-,-,-,-,-,-,0.1993,-,-,-,0.3179,0.0032,0.1582,-
mitsubishi,"montero sport g2 2,5 lts. dohc 16v station wagon 5p. t/m motor diesel",MT4954E5121400-4,2013-01-09,5.082,2013,mediano,ice,,,euro 5,mc3d,2710.0,M,225.0,10.18,-,-,-,-,-,-,-,-,-,-,-,0.19783,-,-,-,0.20216,0.00103,0.15792,-
mitsubishi,"l200 dakar crs hp 2,5 lts. crdi 16v dohc pick up doble cabina 4p. 4x4 t/m motor diesel",MT4953E5111200-8,2013-01-10,5.25,2013,mediano,ice,,,euro 5,mc3d,2850.0,M,236.0,9.74,-,-,-,-,-,-,-,-,-,-,-,0.2195,-,-,-,0.1371,0.0037,0.1822,-
mitsubishi,"montero sport g2 2,5 lts. dohc 16v station wagon 5p. t/m motor diesel",MT4950E5111200-1,2013-01-10,5.082,2013,mediano,ice,,,euro 5,mc3d,2710.0,M,233.0,9.83,-,-,-,-,-,-,-,-,-,-,-,0.2273,-,-,-,0.2039,0.0024,0.192,-
mitsubishi,"montero sport g2 2,5 lts. dohc 16v station wagon 5p. t/a motor diesel",MT4942E5111400-K,2013-01-10,5.082,2013,mediano,ice,,,euro 5,mc3d,2710.0,A,252.0,9.14,-,-,-,-,-,-,-,-,-,-,-,0.25684,-,-,-,0.2318,0.00383,0.21426,-
shineray,"sy1020 1,0 lts. sohc pick up cabina simple 2p. t/m motor otto",SH4943E41112S,2013-01-10,-,2013,liviano,ice,76.005.909-9,ANDE760059099,euro 4,cc1o,1820.0,M,178.0,13.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.3428,-,0.0362,0.096
shineray,"sy6390 1,0 lts. sohc furgon 5p. t/m motor otto",SH4943E41112S,2013-01-10,-,2013,liviano,ice,76.005.909-9,ANDE760059099,euro 4,cc1o,1820.0,M,178.0,13.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.3428,-,0.0362,0.096
rolls-royce,"phantom 6,7 lts. dohc coupe 2p. t/a motor otto",RR4961E5061400-1,2013-01-11,6.59684,2013,mediano,ice,96.695.420-5,WILL966954205,euro 5,mc3o,3050.0,A,347.0,6.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0432,0.6257,-,0.0299,0.0498
rolls-royce,"phantom 6,7 lts. dohc cabriolet 2p. t/a motor otto",RR4961E5061401-4,2013-01-11,6.59684,2013,mediano,ice,96.695.420-5,WILL966954205,euro 5,mc3o,3050.0,A,347.0,6.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.6257,-,0.0299,0.0498
dfm,"joyear cross 1,6 lts. dohc station wagon 5p. 4x2 t/m motor otto",DF4912E41112S,2013-01-11,4.926975,2013,liviano,ice,,,euro 4,lpo,1625.0,M,183.0,13.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.4528,-,0.0155,0.0695
dfm,"joyear kl 1,6 lts. dohc station wagon 5p. 4x2 t/m motor otto",DF4912E41112S,2013-01-11,4.926975,2013,liviano,ice,,,euro 4,lpo,1625.0,M,183.0,13.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.4528,-,0.0155,0.0695
dfm,"joyear lv 1,6 lts. dohc station wagon 5p. 4x2 t/m motor otto",DF4912E41112S,2013-01-11,4.926975,2013,liviano,ice,,,euro 4,lpo,1625.0,M,183.0,13.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.4528,-,0.0155,0.0695
bmw,"m 135i / f21 3,0 lts. dohc hatchback 3p. t/a motor otto",BM4965E50714S00-3,2013-01-11,4.74785,2013,liviano,ice,96.695.420-5,WILL966954205,euro 5,lpo,1970.0,A,175.0,13.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.03974,0.4329,-,0.001664,0.0503
bmw,"m 125i / f21 2,0 lts. dohc hatchback 3p. t/m motor otto",BM4964E41112S,2013-01-11,4.74785,2013,liviano,ice,96.695.420-5,WILL966954205,euro 4,lpo,1870.0,M,154.0,15.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.38295,-,0.003312,0.04339
mitsubishi,"montero sport g2 2,5 lts. dohc 16v station wagon 5p. t/a motor diesel",MT4941E5111200-2,2013-01-11,5.082,2013,mediano,ice,,,euro 5,mc3d,2710.0,A,243.0,9.48,-,-,-,-,-,-,-,-,-,-,-,0.2184,-,-,-,0.1002,0.002,0.1714,-
mitsubishi,"l200 dakar crs hp 2,5 lts. crdi 16v dohc pick up doble cabina 4p. 4x4 t/a motor diesel",MT4952E5111200-2,2013-01-11,5.25,2013,mediano,ice,,,euro 5,mc3d,2850.0,A,255.0,9.05,-,-,-,-,-,-,-,-,-,-,-,0.2112,-,-,-,0.1793,0.0034,0.1891,-
mitsubishi,"l200 dakar crs 2,5 lts. crdi dohc 16v pick up doble cabina 4p. t/m 4x4 motor diesel",MT4939E5111200-1,2013-01-11,4.9,2013,mediano,ice,,,euro 5,mc3d,2850.0,M,235.0,9.74,-,-,-,-,-,-,-,-,-,-,-,0.203,-,-,-,0.1353,0.0046,0.1694,-
mitsubishi,"l200 katana crt 2,5 lts. crdi dohc 16v pick up doble cabina 4p. t/m 4x4 motor diesel",MT4939E5111201-4,2013-01-11,4.9,2013,mediano,ice,,,euro 5,mc3d,2850.0,M,235.0,9.74,-,-,-,-,-,-,-,-,-,-,-,0.203,-,-,-,0.1353,0.0046,0.1694,-
mitsubishi,"l200 katana crm 2,5 lts. crdi dohc 16v pick up doble cabina 4p. t/m 4x4 motor diesel",MT4939E5111202-7,2013-01-11,4.9,2013,mediano,ice,,,euro 5,mc3d,2850.0,M,235.0,9.74,-,-,-,-,-,-,-,-,-,-,-,0.203,-,-,-,0.1353,0.0046,0.1694,-
mitsubishi,"l200 katana crl 2,5 lts. crdi dohc 16v pick up doble cabina 4p. t/m 4x4 motor diesel",MT4939E5111203-K,2013-01-11,4.9,2013,mediano,ice,,,euro 5,mc3d,2850.0,M,235.0,9.74,-,-,-,-,-,-,-,-,-,-,-,0.203,-,-,-,0.1353,0.0046,0.1694,-
mitsubishi,"l200 catana cs 2,5 lts. crdi dohc 16v pick up cabina simple 2p. t/m 4x4 motor diesel",MT4939E5111204-2,2013-01-11,4.9,2013,mediano,ice,,,euro 5,mc3d,2850.0,M,235.0,9.74,-,-,-,-,-,-,-,-,-,-,-,0.203,-,-,-,0.1353,0.0046,0.1694,-
mitsubishi,"l200 dakar crs 2,5 lts. crdi dohc 16v pick up cabina y media 2p. t/m 4x4 motor diesel",MT4939E5111205-5,2013-01-11,4.9,2013,mediano,ice,,,euro 5,mc3d,2850.0,M,235.0,9.74,-,-,-,-,-,-,-,-,-,-,-,0.203,-,-,-,0.1353,0.0046,0.1694,-
mitsubishi,"l200 katana 2,5 lts. crdi dohc 16v pick up doble cabina 4p. t/m 4x2 motor diesel",MT4939E5111206-8,2013-01-11,4.9,2013,mediano,ice,,,euro 5,mc3d,2850.0,M,235.0,9.74,-,-,-,-,-,-,-,-,-,-,-,0.203,-,-,-,0.1353,0.0046,0.1694,-
mitsubishi,"l200 work cr 2,5 lts. crdi 16v dohc camioneta doble cabina 4p. t/m 4x2 motor diesel",MT4939E5111207-0,2015-02-24,4.9,2015,mediano,ice,,,euro 5,mc3d,2850.0,M,235.0,9.74,-,-,-,-,-,-,-,-,-,-,-,0.203,-,-,-,0.1353,0.0046,0.1694,-
volkswagen,"amarok 2,0 lts. tdi dohc pick up doble cabina 4p. t/a motor csha diesel",VW4900E5101300-1,2013-01-18,4.9,2013,mediano,ice,76.245.828-4,PORS762458284,euro 5,mc3d,3040.0,A,219.0,10.44,-,-,-,-,-,-,-,-,-,-,-,0.2435,-,-,-,0.0265,0,0.2368,-
volkswagen,"amarok 2,0 lts. tdi dohc pick up doble cabina 4p. t/a 4x2 motor csha diesel",VW4900E5101301-4,2013-01-18,4.9,2013,mediano,ice,76.245.828-4,PORS762458284,euro 5,mc3d,3040.0,A,219.0,10.44,-,-,-,-,-,-,-,-,-,-,-,0.2435,-,-,-,0.0265,0,0.2368,-
ssangyong,"new actyon sport 2,0 lts. xdi 16v dohc pick up doble cabina 4p. 4x4 t/m motor diesel",SS4951E5111200-8,2013-01-21,5.8446,2013,mediano,ice,96.861.240-9,ASTA968612409,euro 5,mc3d,2740.0,M,223.0,10.27,-,-,-,-,-,-,-,-,-,-,-,0.3359,-,-,-,0.4661,0.0018,0.2489,-
ssangyong,"new actyon sport 2,0 lts. xdi 16v dohc pick up doble cabina 4p. 4x2 t/m motor diesel",SS4951E5111201-0,2013-01-21,5.8446,2013,mediano,ice,96.861.240-9,ASTA968612409,euro 5,mc3d,2740.0,M,223.0,10.27,-,-,-,-,-,-,-,-,-,-,-,0.3359,-,-,-,0.4661,0.0018,0.2489,-
brilliance,"v5 1,6 lts. dohc station wagon 5p. t/a motor otto",BR4974E41212S,2013-01-21,4.734,2013,liviano,ice,79.649.140-K,GILD79649140K,euro 4,lpo,1730.0,A,204.0,11.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.3323,-,0.0283,0.0673
brilliance,"euphoria (h530) 1,6 lts. dohc sedan 4p. t/a motor otto",BR4956E41212S,2013-01-21,4.8303,2013,liviano,ice,79.649.140-K,GILD79649140K,euro 4,lpo,1730.0,A,194.0,12.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.3722,-,0.0392,0.0683
brilliance,"euphoria (h530) 1,6 lts. dohc hatchback 5p. t/a motor otto",BR4956E41212S,2013-01-21,4.8303,2013,liviano,ice,79.649.140-K,GILD79649140K,euro 4,lpo,1730.0,A,194.0,12.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.3722,-,0.0392,0.0683
ford,"f150 platinum 3,5 lts. dohc pick up doble cabina 4p. 4x4 t/a motor otto",FR4990T25011400-0,2013-01-22,-,2013,mediano,ice,78.703.910-3,FORD787039103,tier 2 b5,mt2o,3270.0,A,339.0,7.0,-,-,"0,00/0,00",-,-,-,"0,006/0,0119","0,0225/0,0321","0,562/0,8186",-,-,-,-,-,-,-,-,-,-
mitsubishi,"montero 3,2 lts. crdi dohc station wagon 5p. 4x4 t/a motor diesel",MT4933E5151200-5,2013-01-22,5.2125,2013,mediano,ice,96.861.240-9,ASTA968612409,euro 5,mc3d,3030.0,A,247.0,9.31,-,-,-,-,-,-,-,-,-,-,-,0.28062,-,-,-,0.35021,0.0025,0.24591,-
mitsubishi,"montero 3,2 lts. crdi dohc station wagon 3p. 4x4 t/a motor diesel",MT4933E5151201-8,2013-01-22,4.695525,2013,mediano,ice,96.861.240-9,ASTA968612409,euro 5,mc3d,2705.0,A,247.0,9.31,-,-,-,-,-,-,-,-,-,-,-,0.28062,-,-,-,0.35021,0.0025,0.24591,-
nissan,"new sentra 1,8 lts. dohc sedan 4p. t/a motor otto",NS4988T281212S,2013-01-22,4.7547,2013,liviano,ice,,,tier 2 b8,lpo,1697.0,A,163.0,14.6,-,-,0.12,-,-,-,0.0178,0.021,0.4526,-,-,-,-,-,-,-,-,-,-
nissan,"new sentra 1,8 lts. dohc sedan 4p. t/m motor otto",NS4987T281212S,2013-01-22,4.7547,2013,liviano,ice,,,tier 2 b8,lpo,1697.0,M,169.0,14.1,-,-,0.25,-,-,-,0.0151,0.021,0.6405,-,-,-,-,-,-,-,-,-,-
mitsubishi,"l200 dakar crs 2,5 lts. crdi dohc 16v pick up doble cabina 4p. t/a 4x4 motor diesel",MT4940E5111200-7,2013-01-23,4.9,2013,mediano,ice,,,euro 5,mc3d,2850.0,A,257.0,8.96,-,-,-,-,-,-,-,-,-,-,-,0.2783,-,-,-,0.0862,0.0029,0.2533,-
mini,"john cooper works 1,6 lts. dohc hatchback 3p. t/m motor otto",BM4992E50713S00-K,2013-01-24,4.151961,2013,liviano,ice,96.695.420-5,WILL966954205,euro 5,lpo,1610.0,M,153.0,15.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0194,0.4878,-,0.015,0.0253
mini,"john cooper works clubman 1,6 lts. dohc station wagon 5p. t/m motor otto",BM4992E50713S01-3,2013-01-24,4.286601,2013,liviano,ice,96.695.420-5,WILL966954205,euro 5,lpo,1700.0,M,153.0,15.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0194,0.4878,-,0.015,0.0253
mini,"john cooper works convertible 1,6 lts. dohc convertible 3p. t/m motor otto",BM4992E50713S02-7,2013-01-24,4.151961,2013,liviano,ice,96.695.420-5,WILL966954205,euro 5,lpo,1670.0,M,153.0,15.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0194,0.4878,-,0.015,0.0253
mini,"john cooper works coupe 1,6 lts. dohc coupe 2p. t/m motor otto",BM4992E50713S03-0,2013-01-24,4.151961,2013,liviano,ice,96.695.420-5,WILL966954205,euro 5,lpo,1465.0,M,153.0,15.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0194,0.4878,-,0.015,0.0253
mini,"john cooper works roadster 1,6 lts. dohc cabriolet 2p. t/m motor otto",BM4992E50713S04-4,2013-01-24,4.151961,2013,liviano,ice,96.695.420-5,WILL966954205,euro 5,lpo,1485.0,M,153.0,15.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0194,0.4878,-,0.015,0.0253
mini,"john cooper works gp ii 1,6 lts. dohc hatchback 3p. t/m motor otto",BM4992E50713S05-8,2013-01-24,4.151961,2013,liviano,ice,96.695.420-5,WILL966954205,euro 5,lpo,1410.0,M,165.0,14.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0194,0.4878,-,0.015,0.0253
subaru,"forester 2,0 lts. turbo dohc station wagon 5p. cvt awd motor otto",SB4980E41212S,2013-01-25,4.7388,2013,liviano,ice,,,euro 4,lpo,2110.0,A,197.0,11.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.199,-,0.006,0.04
subaru,"forester 2,5i-l lts. dohc station wagon 5p. cvt awd motor otto",SB4981E41212S,2013-01-25,4.7388,2013,liviano,ice,,,euro 4,lpo,2015.0,A,190.0,12.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.349,-,0.01,0.046
subaru,"forester 2,5i-s lts. dohc station wagon 5p. cvt awd motor otto",SB4981E41212S,2013-01-25,4.7388,2013,liviano,ice,,,euro 4,lpo,2015.0,A,190.0,12.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.349,-,0.01,0.046
subaru,"forester 2,5i lts. dohc station wagon 5p. cvt awd motor otto",SB4981E41212S,2013-01-25,4.7388,2013,liviano,ice,,,euro 4,lpo,2015.0,A,190.0,12.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.349,-,0.01,0.046
mini,"john cooper works 1,6 lts. dohc hatchback 3p. t/a motor otto",BM4993E50713S00-5,2013-01-25,4.151961,2013,liviano,ice,96.695.420-5,WILL966954205,euro 5,lpo,1635.0,A,165.0,14.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0217,0.5728,-,0.044,0.0283
mini,"john cooper works clubman 1,6 lts. dohc station wagon 5p. t/a motor otto",BM4993E50713S01-9,2013-01-25,4.286601,2013,liviano,ice,96.695.420-5,WILL966954205,euro 5,lpo,1725.0,A,165.0,14.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.5728,-,0.044,0.0283
mini,"john cooper works convertible 1,6 lts. dohc convertible 3p. t/a motor otto",BM4993E50713S02-2,2013-01-25,4.151961,2013,liviano,ice,96.695.420-5,WILL966954205,euro 5,lpo,1695.0,A,165.0,14.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.5728,-,0.044,0.0283
mini,"john cooper works coupe 1,6 lts. dohc coupe 2p. t/a motor otto",BM4993E50713S03-6,2013-01-25,4.151961,2013,liviano,ice,96.695.420-5,WILL966954205,euro 5,lpo,1490.0,A,165.0,14.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.5728,-,0.044,0.0283
mini,"john cooper works roadster 1,6 lts. dohc cabriolet 2p. t/a motor otto",BM4993E50713S04-K,2013-01-25,4.151961,2013,liviano,ice,96.695.420-5,WILL966954205,euro 5,lpo,1505.0,A,165.0,14.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.5728,-,0.044,0.0283
subaru,"forester 2,0i-s 2,0 lts. dohc station wagon 5p. awd t/m motor otto",SB4975E41212S,2013-01-28,4.7388,2013,liviano,ice,,,euro 4,lpo,2015.0,M,186.0,12.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.524,-,0.012,0.043
subaru,"forester 2,0i-l 2,0 lts. dohc station wagon 5p. awd t/m motor otto",SB4975E41212S,2013-01-28,4.7388,2013,liviano,ice,,,euro 4,lpo,2015.0,M,186.0,12.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.524,-,0.012,0.043
subaru,"forester 2,0i 2,0 lts. dohc station wagon 5p. awd t/m motor otto",SB4975E41212S,2013-01-28,4.7388,2013,liviano,ice,,,euro 4,lpo,2015.0,M,186.0,12.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.524,-,0.012,0.043
subaru,"forester 2,0i-s 2,0 lts. dohc station wagon 5p. awd cvt motor otto",SB4969E41212S,2013-01-28,4.7388,2013,liviano,ice,,,euro 4,lpo,2015.0,A,182.0,12.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.679,-,0.007,0.043
subaru,"forester 2,0i-l 2,0 lts. dohc station wagon 5p. awd cvt motor otto",SB4969E41212S,2013-01-28,4.7388,2013,liviano,ice,,,euro 4,lpo,2015.0,A,182.0,12.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.679,-,0.007,0.043
subaru,"forester 2,0i 2,0 lts. dohc station wagon 5p. awd cvt motor otto",SB4969E41212S,2013-01-28,4.7388,2013,liviano,ice,,,euro 4,lpo,2015.0,A,182.0,12.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.679,-,0.007,0.043
ssangyong,"new actyon sport xdi 2,0 lts. 16v dohc pick up doble cabina 4p. t/a 4x4 6 velocidades motor diesel",SS4967E5111200-5,2013-01-29,5.8446,2013,mediano,ice,96.861.240-9,ASTA968612409,euro 5,mc3d,2740.0,A,245.0,9.4,-,-,-,-,-,-,-,-,-,-,-,0.2993,-,-,-,0.483,0.0008,0.247,-
ssangyong,"new actyon sport xdi 2,0 lts. 16v dohc pick up doble cabina 4p. t/a 4x2 6 velocidades motor diesel",SS4967E5111201-8,2013-01-29,5.8446,2013,liviano,ice,96.861.240-9,ASTA968612409,euro 5,cc3d,2640.0,A,245.0,9.4,-,-,-,-,-,-,-,-,-,-,-,0.2993,-,-,-,0.483,0.0008,0.247,-
hyundai,"sonata yf 2,0 lts. dohc sedan 4p. t/a motor otto",HY5025E41212S,2013-01-29,5.128825,2013,liviano,ice,79.649.140-K,GILD79649140K,euro 4,lpo,1980.0,A,190.0,12.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.1754,-,0.0031,0.0454
mazda,"mazda 6 2,5 lts. dohc sedan 4p. t/a motor otto",MZ5014E41212S,2013-01-29,5.2072,2013,liviano,ice,93.061.000-3,ALAM930610003,euro 4,lpo,1965.0,A,174.0,13.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.979,-,0.0078,0.0419
mazda,"mazda 6 2,2 lts. dohc sedan 4p. t/a motor diesel",MZ5010E51212S00-9,2013-01-29,5.2072,2013,liviano,ice,93.061.000-3,ALAM930610003,euro 5,lpd,2005.0,A,159.0,14.53,-,-,-,-,-,-,-,-,-,-,-,0.146,-,-,-,0.18,0.002,0.091,-
chevrolet,"tracker 1,8 lts. dohc station wagon 5p. 4x4 awd t/a motor otto",CH5015E41212S,2013-01-31,4.53768,2013,liviano,ice,93.515.000-0,GEMO935150000,euro 4,lpo,1831.0,A,197.0,12.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.5906,-,0.0056,0.032
chevrolet,"tracker 1,8 lts. dohc station wagon 5p. 4x2 fwd t/a motor otto",CH5015E41212S,2013-01-31,4.53768,2013,liviano,ice,93.515.000-0,GEMO935150000,euro 4,lpo,1831.0,A,197.0,12.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.5906,-,0.0056,0.032
audi,"q5 2,0 lts. tdi dohc station wagon 5p. 4x4 t/a motor cglc diesel",AD5005E50113S00-9,2013-02-01,5.327686,2013,liviano,ice,76.245.828-4,PORS762458284,euro 5,lpd,2430.0,A,172.0,13.4,-,-,-,-,-,-,-,-,-,-,-,0.0888,-,-,-,0.2459,0.00012,0.0602,-
